Type,Latitude,Longitude,email
Suspicious Drug Activity,40.72371,-73.95097,moc
Suspicious Drug Activity,30.17746,-81.38758,moc
Suspicious Drug Activity,33.93113,-117.54866,moc
Suspicious Drug Activity,41.0051,-73.78458,moc
Suspicious Drug Activity,34.09668,-117.71978,moc
Suspicious Drug Activity,40.65995,-111.99633,moc
Suspicious Drug Activity,32.9156,-117.14392,moc
Suspicious Drug Activity,41.85059,-87.882,moc
Suspicious Drug Activity,32.52515,-93.75018,moc
Suspicious Drug Activity,41.15376,-87.88754,moc
Suspicious Drug Activity,46.32374,-120.00865,moc
Suspicious Drug Activity,41.9001,-71.08977,moc
Suspicious Drug Activity,38.58894,-89.99038,moc
Suspicious Drug Activity,33.92946,-116.97725,moc
Suspicious Drug Activity,38.96372,-76.99081,moc
Suspicious Drug Activity,40.24537,-75.64963,moc
Suspicious Drug Activity,40.81,-73.9625,moc
Suspicious Drug Activity,32.42067,-104.22884,moc
Suspicious Drug Activity,43.61062,-72.97261,moc
Suspicious Drug Activity,41.72059,-87.70172,moc
Suspicious Drug Activity,39.57582,-105.11221,moc
Suspicious Drug Activity,29.84576,-90.10674,moc
Suspicious Drug Activity,37.71715,-122.40433,moc
Suspicious Drug Activity,40.81,-73.9625,moc
Suspicious Drug Activity,45.0408,-93.263,moc
Suspicious Drug Activity,42.97086,-82.42491,moc
Suspicious Drug Activity,29.53885,-95.44744,moc
Suspicious Drug Activity,37.60876,-77.37331,moc
Suspicious Drug Activity,35.88264,-80.08199,moc
Suspicious Drug Activity,44.27804,-88.27205,moc
Suspicious Drug Activity,38.06084,-97.92977,moc
Suspicious Drug Activity,33.93113,-117.54866,moc
Suspicious Drug Activity,39.33427,-76.43941,moc
Suspicious Drug Activity,32.42067,-104.22884,moc
Suspicious Drug Activity,37.95143,-91.77127,moc
Suspicious Drug Activity,45.0408,-93.263,moc
Suspicious Drug Activity,26.18924,-98.15529,moc
Suspicious Drug Activity,39.57582,-105.11221,moc
Suspicious Drug Activity,41.75338,-86.11084,moc
Suspicious Drug Activity,29.84576,-90.10674,moc
Suspicious Drug Activity,40.72371,-73.95097,moc
Suspicious Drug Activity,44.99012,-123.02621,moc
Suspicious Drug Activity,41.47892,-87.45476,moc
Suspicious Drug Activity,29.53885,-95.44744,moc
Suspicious Drug Activity,28.15112,-82.46148,moc
Suspicious Drug Activity,41.72059,-87.70172,moc
Suspicious Drug Activity,33.54428,-84.23381,moc
Suspicious Drug Activity,34.25807,-88.70464,moc
Suspicious Drug Activity,26.2173,-80.22588,moc
Suspicious Drug Activity,36.91023,-121.75689,moc
